"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
Chow Paredes,Chow Paredes,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,https://shemeansbusiness.fb.com/stories/meet-chow/,x,https://shemeansbusiness.fb.com/stories/meet-chow/
"Brochure_Parent Guide, 21/07/2020, Thu",Brochure - Parent Guide,21-07-2020,Thu,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/file/d/15D4iIkF5qiLKhLTwg8ePCHTiQTplXoHH/view?usp=sharing,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Brochure-Parent-Guide.pdf
"Safety notebook, 1/5/2020, Thu",Safety notebook,01-05-2020,Thu,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Vietnamese,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1ZY3Y3isz7w3SIHCIoFooOFYLabRQeVEE/view?usp=sharing,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Safety-notebook.pdf
"Brochure_We Think Digital, 21/07/2020",Brochure - We Think Digital,21-07-2020,Geraldine,APAC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Vietnamese,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/file/d/1698VfIN-ageUENmxvK9esZEH8qcZaLpF/view?usp=sharing,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Brochure-We-Think-Digital.pdf
SME Report,SME Report,,Dessy,Indonesia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Bahasa Indonesia,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/c337fkudcjlzysb/Enabling%20SMEs%20in%20the%20Digital%20Age%20v6%20-%20ID%20v2.pdf?dl=0,,,
East Indonesia Report,East Indonesia Report,,Dessy,Indonesia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/u9pwzgt2dresthh/East%20Indonesia%20Report%202018.pdf?dl=0,,,
Laju Digital Gorontalo,Laju Digital Gorontalo,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/6w7d27f3iszc8kr/Laju%20Digital%20Gorontalo%20V2.m4v?dl=0,,,
Laju Digital Makassar,Laju Digital Makassar,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/iifkhr3p1apqu6k/Laju%20Digital%20Makassar%20V2.m4v?dl=0,,,
Laju Digital Manokwari,Laju Digital Manokwari,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/a8jyeunhhp7p81n/Laju%20Digital%20Manokwari%20V2.m4v?dl=0,,,
Laju Digital Kupang,Laju Digital Kupang,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/u9qxty1ljwxnhnk/Laju%20Digital%20Kupang%20V2.m4v?dl=0,,,
Laju Digital Jayapura,Laju Digital Jayapura,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/6swtxhbnbfyhb34/Laju%20Digital%20Jayapura%20V2.m4v?dl=0,,,
Laju Digital Ambon,Laju Digital Ambon,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/dw26n7m0vyfcgis/Laju%20Digital%20Ambon%20V2.m4v?dl=0,,,
