"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
Muong Hoa Ethnic Minority Co-operative  -  #SheMB - 2019 - Chi,Muong Hoa Ethnic Minority Co-operative - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/mefeyah3472bwsj/Final_MuongHoa.mp4?dl=0,,x,https://drive.google.com/file/d/1QmG49ieSK4CTqX-SWDCjP8HHaapMZZ4f/view?usp=sharing
Hanna Tourism  -  #SheMB - 2019 - Chi,Hanna Tourism - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/2858s2kse47tsqe/Hana%20Group%20%20-%20Final-%20sub.mp4?dl=0,,x,https://drive.google.com/file/d/1k8uy4Psy_7SZc5esHZB0Pu-El-8GwcyQ/view?usp=sharing
Tubudd tourism -  #SheMB - 2019 - Chi,Tubudd tourism - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/0qpf2832eir2654/Tubudd%20-%20Final%20-%20Jan%206%202020.mp4?dl=0,,x,https://drive.google.com/file/d/1FUgQ5z7kevmjp97qC_9JKULKsZBCpIeh/view?usp=sharing
Dalavi -  #SheMB - 2019 - Chi,Dalavi - #SheMB,01-01-2019,Chi,Vietnam,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/oe5s4ulo2remmd9/FB_OnePager_DaLaVi_Ref_copy_.pdf?dl=0,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Dalavi-SheMB.pdf
Triip.me - Ms. Lam Thuy Ha -  #SheMB - 2018 - Chi,Triip.me - Ms. Lam Thuy Ha - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/3hcbs6yjfaayr4v/CLIP%20LAM%20THI%20THUY%20HA%2021-3.mp4?dl=0,,x,https://drive.google.com/file/d/115eY4HiFN5Qffl_ZF9j9aA8EblDo1EKk/view?usp=sharing
Bo Cat Vang Tourism -  Boost with Facebook - 2018 - Chi,Bo Cat Vang Tourism - Boost with Facebook,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/2cdktlhgopyc3yc/bo%20cat%20vang.mp4?dl=0,,x,https://drive.google.com/file/d/1_-FsF153m94-KxGwegXVAgj3AcWTPu2t/view?usp=sharing
True Juice -  #SheMB - 2018 - Chi,True Juice - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/7x190m51ak6cyxg/TRAN%20THANH%20HUYEN%2011_02_19.mp4?dl=0,,x,https://drive.google.com/file/d/1edhW52ImMDj9-PojFhnltTgCjlvDh3Ne/view?usp=sharing
Nhat Ha Organic Food -  #SheMB - 2018 - Chi,Nhat Ha Organic Food - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/eouzmif4pqo77nt/VCCI-Nhatha-Final%201601.mp4?dl=0,,x,https://drive.google.com/file/d/1gZARU1gKgctlQl7JapbRSCHDpVUhgCuQ/view?usp=sharing
Hanoli Olive Oil -  #SheMB - 2018 - Chi,Hanoli Olive Oil - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/f44kv2ro91naini/HANOLI%20Final%201801.mp4?dl=0,,x,https://drive.google.com/file/d/1L224VQ9FlGY5kBOSyzLyHRZZRUmT4T1L/view?usp=sharing
BioBee Mart - Boost with Facebook- 2018 - Chi,BioBee Mart - Boost with Facebook,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/7fvnm0ndpntnxkj/BIOBEE-BAVIFARM%20-%20English%20sub.mp4?dl=0,,x,https://drive.google.com/file/d/1KNKlSU6CRsIRluNaup_LM0_vVYt2YoHs/view?usp=sharing
Benew Uniform -  Boost with Facebook - 2018 - Chi,Benew Uniform - Boost with Facebook,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/mevavh7v5mkd81u/BENEW.mp4?dl=0,,x,https://drive.google.com/file/d/1z7xuh5k8V1FRepTObBisDuJ8ACswGIe-/view?usp=sharing
Collaborative Arts and Architecture Library - #SheMeansBusiness - 2018 - Chi,Collaborative Arts and Architecture Library - #SheMeansBusiness,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/ck0nsobjhz5lpwu/CLIP%20NGUYEN%20HUYEN%20CHAU%2020%20-%202%20.mp4?dl=0,,x,https://drive.google.com/file/d/1ziDpnbAje3JOh4Z_r6PZm8SD07L6AVB6/view?usp=sharing
WeCreate - #SheMeansBusiness - 2018 - Chi,WeCreate - #SheMeansBusiness,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/wfq6dzi7k7srqz9/Wecreate%20Final%201601.mp4?dl=0,,x,https://drive.google.com/file/d/11hdzhS0JnBXfqSl6f2qXpWS7OjlVI_Tl/view?usp=sharing
GPA Disaster Response Training - 2019 - Shanti,GPA Disaster Response Training,01-01-2019,Shanti,APAC ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://www.facebook.com/gms_hub/share/AWRmGY0cpw0G1PgHE3iyojPBSjsi2izCfbF2Wkg0DC2TtH5u58x7vcEOaoX6_-Wv9wI,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/GPA-Disaster-Response-Training.pdf
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,APAC ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,Hong Kong,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,Japan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Japanese,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,Thailand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Thai,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Prepare & Respond Guide - 2019 - Shanti,Prepare & Respond Guide,01-01-2019,Shanti,Taiwan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Mandarin,FALSE,FALSE,FALSE,FALSE,Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,https://drive.google.com/drive/folders/1nZpS5_SeoZYNZ7Zha7nMBx0qiPexlKp8?ths=true,,,
Data for Good Philippines Case Study - 2019 - Shanti,Data for Good Philippines Case Study,01-01-2020,Shanti,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Data for Good; Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,,https://vimeo.com/343822851,x,https://vimeo.com/343822851
Data for Good APAC Presentation - 2020 - Shanti,Data for Good APAC Presentation,01-01-2020,Shanti,APAC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Data for Good ,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://drive.google.com/file/d/1vUY_CPEWSqnqwjhHwXGj4vrZ_xAEL3Mk/view?usp=sharing,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Data-for-Good-APAC-Presentation.docx
Disaster Maps One Pagers - 2020 - Shanti,Disaster Maps One Pagers,01-01-2020,Shanti,APAC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"English, Bahasa Indonesian,  Japanese, Korean, Thai, Traditional Chinese (Hong Kong), Urdu, Vietnamese, Chinese (Taiwan)",FALSE,FALSE,FALSE,FALSE,Data for Good; Disaster Response,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://docs.google.com/document/d/1mNJzm6E7Q1YNAza1xg2JRUw1gU0CKD2Qeaxb4t3KfUw/edit,,,
Disease Prevention Maps One-Pager,Disease Prevention Maps One-Pager,,Shanti,APAC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"English, Bahasa Indonesian,  Japanese, Korean, Thai, Traditional Chinese (Hong Kong), Urdu, Vietnamese, Chinese (Taiwan)",FALSE,FALSE,FALSE,FALSE,Data for Good,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://docs.google.com/document/d/1mNJzm6E7Q1YNAza1xg2JRUw1gU0CKD2Qeaxb4t3KfUw/edit,,,
Population Density Maps One-Pager,Population Density Maps One-Pager,,Shanti,APAC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"English, Bahasa Indonesian,  Japanese, Korean, Thai, Traditional Chinese (Hong Kong), Urdu, Vietnamese, Chinese (Taiwan)",FALSE,FALSE,FALSE,FALSE,Data for Good,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,https://docs.google.com/document/d/1mNJzm6E7Q1YNAza1xg2JRUw1gU0CKD2Qeaxb4t3KfUw/edit,,,
Visualizations of Population Density Maps and Demographics,Visualizations of Population Density Maps and Demographics,,Shanti,"Japan, Philippines, Indonesia, Korea, Australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Image,English,FALSE,FALSE,FALSE,FALSE,Data for Good,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,Here,,,
"Happy Field, Happy Farm - May 2019 - Shanti","Happy Field, Happy Farm",01-05-2019,Shanti,Thailand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://drive.google.com/file/d/1fxbT9O-6wb_hvgcW8i9wlfR3OHsqxcGO/view?usp=sharing,,x,https://drive.google.com/file/d/11iWmXbzyWN40Oo4SKIclzU1aOIMYomjH/view?usp=sharing
Online Content Regulation White Paper - Feb 2020 - Shanti,Online Content Regulation White Paper,01-02-2020,Shanti,APAC,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,Proactive Regulatory Project,FALSE,FALSE,FALSE,Content Accountability,FALSE,TRUE,TRUE,,https://about.fb.com/news/2020/02/online-content-regulation/,x,https://about.fb.com/news/2020/02/online-content-regulation/
Brochure - Safety at Facebook,Brochure - Safety at Facebook,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent.xx.fbcdn.net/v/t39.2365-6/14662517_920008758104501_7304456979160760320_n.pdf?_nc_cat=0&_nc_log=1&oh=c93c9eb402ca42f58a0f0ed7c26cb478&oe=5BE8C8DE,,,
Brochure - Think Before You Share,Brochure - Think Before You Share,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.2365-6/14675946_734382620033984_5711816641185054720_n.pdf?_nc_cat=102&_nc_sid=ad8a9d&_nc_ohc=dZRz8myP18oAX_pMwpP&_nc_ht=scontent-lhr8-1.xx&oh=a2acde0a761f9ccfe13da29ce5e05035&oe=5F588B6A,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/Brochure-Think-Before-You-Share.pdf
Video - Safety Overview,Video - Safety Overview,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Friending,Video - Friending,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Know Your Audience,Video - Know Your Audience,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Reporting,Video - Reporting,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,APAC local agency mapping,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Secure Logins,Video - Secure Logins,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Scams,Video - Scams,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Hacking,Video - Hacking,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/6zg53ngt9jbn2jv/AACLRRdBP8JmJhqA4nxdFUwUa?dl=0,,,
Video - Content Moderation,Video - Content Moderation,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,,https://www.facebook.com/1319742961447503/videos/1498521866902944/,x,https://www.facebook.com/1319742961447503/videos/1498521866902944/
Brochure - Women's Safety @Facebook,Brochure - Women's Safety @Facebook,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent-sit4-1.xx.fbcdn.net/v/t39.2365-6/14630891_1195063640516072_3634286272291274752_n.pdf?_nc_cat=0&oh=721f179ccb13d45ece11a9ea266c34ab&oe=5BE3C9C2,,,
Brochure - Your Image Your Facebook,Brochure - Your Image Your Facebook,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent-sit4-1.xx.fbcdn.net/v/t39.2365-6/14662511_639163702923516_4505203166295359488_n.pdf?_nc_cat=0&oh=a6cdf2d4447e1ad3da62554327088658&oe=5BDAD3A5,,,
Brochure - Empower Parents and Families,Brochure - Empower Parents and Families,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent-sit4-1.xx.fbcdn.net/v/t39.2365-6/14659095_1790497401207626_5144367563492294656_n.pdf?_nc_cat=0&oh=047661706afbb449a282df4de692484f&oe=5BCEFA62,,,
Brochure - Empower Educators,Brochure - Empower Educators,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://scontent-sit4-1.xx.fbcdn.net/v/t39.2365-6/14677812_818010928340505_8480908462098743296_n.pdf?_nc_cat=0&oh=b5f3337c030c09a19c1ca997b9ff2132&oe=5BEBC827,,,
Brochure - Indonesia Elections,Brochure - Indonesia Elections,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Elections,TRUE,FALSE,FALSE,https://www.dropbox.com/s/piptiug1q4shozx/EI_1Pager_V7_id_ID.jpg?dl=0,,,
Top 10 Tips for False News,Top 10 Tips for False News,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,News Literacy,TRUE,FALSE,FALSE,https://www.dropbox.com/sh/qojhd40n5uzwwol/AAAFI5p0PmWf-1Y-gu1ZKOrYa?dl=0,,,
Facebook for Govt and Politics,Facebook for Govt and Politics,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Government and Politics,TRUE,FALSE,FALSE,https://www.dropbox.com/s/lu5794f7ylhnlkc/Facebook%20Guide%20for%20Politics%20%26%20Government%20-%20Bahasa%20Indonesia.pdf?dl=0,,,
Instagram for Govt and Politics,Instagram for Govt and Politics,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Government and Politics,TRUE,FALSE,FALSE,https://www.dropbox.com/s/211p5x98yn2lb1l/Instagram%20Guide%20for%20Politics%20%26%20Government%20-%20Bahasa%20Indonesia.pdf?dl=0,,,
Leaflet,Leaflet,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Programs,TRUE,FALSE,FALSE,https://www.dropbox.com/s/x54qtnakxodtkie/190115_Policy_Leaflet_Indonesia_Flap.pdf?dl=0,,,
BUILD Report,BUILD Report,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Report,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,CVE,TRUE,FALSE,FALSE,https://www.dropbox.com/s/je2iw98v4l4ssiq/BUILD%20ver8%20-%20ID%20v2.pdf?dl=0,,,
SME Report,SME Report,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Report,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/c337fkudcjlzysb/Enabling%20SMEs%20in%20the%20Digital%20Age%20v6%20-%20ID%20v2.pdf?dl=0,,,
Parents 1,Parents 1,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/s/sqto3dhhnlesfnn/Parents%201.jpg?dl=0,,,
